question_id,category,risk_level,answer,user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_recall,context_precision
Q001,Stale Guidance,High,Critical-risk AI systems shall undergo adversarial red-team testing at least annually. [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf],How often must Critical AI systems undergo adversarial red-team testing?,"['deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the Technology Risk Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nGenerative AI applications should undergo prompt injection testing before production \ndeployment whenever practical. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least annually. \nAI-SDL-005 \nSecurity testing records shall be retained for a minimum of three years.', 'Prompt updates may be implemented through standard change management procedures. \nSection 4 – Monitoring \nAI-SDL-008 \nProduction AI systems shall maintain operational logs sufficient to support troubleshooting \nand incident investigations. \nAI-SDL-009 \nHigh-risk and Critical-risk AI systems shall undergo performance reviews at least annually. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within five \nbusiness days.', 'AI Secure Development Lifecycle Standard (AI-SDL) \nVersion: 1.0 \nEffective Date: January 1, 2024 \nStatus: Superseded \nPurpose \nThis standard establishes minimum security and governance requirements for Artificial \nIntelligence systems developed, deployed, or maintained within the organization. \nSection 1 – Risk Classification \nAI-SDL-001 \nAll AI systems shall be classified as Low, Medium, High, or Critical risk prior to production \ndeployment. \nAI-SDL-002']",Critical-risk AI systems shall undergo adversarial red-team testing at least annually. [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf],Quarterly,,,,
Q002,Stale Guidance,Medium,This information is not available in the approved documents.,How long must security testing records be retained?,"['business days. \nAI-SDL-011 \nConfirmed AI security incidents shall be reported to the Technology Risk Committee within \nten business days. \nDocument History \nVersion 1.0 – Initial Release \nEffective Date: January 1, 2024 \nApproved By: Technology Risk Committee', 'at a point in time or over multiple time periods. Statistical testing is essential in such \ncases, yet such testing can pose challenges in both the choice of appropriate tests and the \ninterpretation of results; banks should support and document both the choice of tests and \nthe interpretation of results. \nModels with long forecast horizons should be back-tested, but given the amount of time it \nwould take to accumulate the necessary data, that testing should be supplemented by', 'purpose, design, and execution of test plans, summary results with commentary and \nevaluation, and detailed analysis of informative samples. Testing activities should be \nappropriately documented. \nThe nature of testing and analysis will depend on the type of model and will be judged by \ndifferent criteria depending on the context. For example, the appropriate statistical tests \ndepend on specific distributional assumptions and the purpose of the model. Furthermore,']",This information is not available in the approved documents.,Seven years,,,,
Q003,Stale Guidance,High,Potential prompt injection incidents shall be escalated to Information Security within five business days. [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf],Within how many business days must prompt injection incidents be escalated?,"['Prompt updates may be implemented through standard change management procedures. \nSection 4 – Monitoring \nAI-SDL-008 \nProduction AI systems shall maintain operational logs sufficient to support troubleshooting \nand incident investigations. \nAI-SDL-009 \nHigh-risk and Critical-risk AI systems shall undergo performance reviews at least annually. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within five \nbusiness days.', 'business days. \nAI-SDL-011 \nConfirmed AI security incidents shall be reported to the Technology Risk Committee within \nten business days. \nDocument History \nVersion 1.0 – Initial Release \nEffective Date: January 1, 2024 \nApproved By: Technology Risk Committee', 'deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the Technology Risk Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nGenerative AI applications should undergo prompt injection testing before production \ndeployment whenever practical. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least annually. \nAI-SDL-005 \nSecurity testing records shall be retained for a minimum of three years.']",Potential prompt injection incidents shall be escalated to Information Security within five business days. [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf],One business day,,,,
Q004,Stale Guidance,High,Material changes to model architecture shall require re-validation prior to production deployment. [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf] Material changes to models should also be subject to validation. [Source: data/documents/outdated\sr1107a1.pdf],What changes require re-validation before deployment?,"['Section 3 – Change Management \nAI-SDL-006 \nMaterial changes to model architecture shall require re-validation prior to production \ndeployment. \nAI-SDL-007', 'existing validation activities are sufficient. Such a determination could simply affirm \nprevious validation work, suggest updates to previous validation activities, or call for \nadditional validation activities. Material changes to models should also be subject to \nvalidation. It is generally good practice for banks to ensure that all models undergo the \nfull validation process, as described in the following section, at some fixed interval, \nincluding updated documentation of all activities.', 'over time, systems may need to be updated to reflect any changes in the data or its use. \nReports derived from model outputs should be reviewed as part of validation to verify \nthat they are accurate, complete, and informative, and that they contain appropriate \nindicators of model performance and limitations. \nMany of the tests employed as part of model development should be included in ongoing \nmonitoring and be conducted on a regular basis to incorporate additional information as it']",Material changes to model architecture shall require re-validation prior to production deployment. [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf] Material changes to models should also be subject to validation. [Source: data/documents/outdated\sr1107a1.pdf],"Model architecture, foundation model provider, retrieval corpus, and decision logic",,,,
Q005,Authority Failure,High,This information is not available in the approved documents.,What guidance currently governs model risk management practices?,"[""manage model risk, including internal policies and procedures that appropriately reflect \nthe risk management principles described in this guidance. Details of model risk \nmanagement practices may vary from bank to bank, as practical application of this \nguidance should be commensurate with a bank's risk exposures, its business activities, \nand the extent and complexity of its model use."", 'assumptions. \nVII. CONCLUSION \nThis document has provided comprehensive guidance on effective model risk \nmanagement. Many of the activities described in this document are common industry \npractice. But all banks should confirm that their practices conform to the principles in this \nguidance for model development, implementation, and use, as well as model validation. \nBanks should also ensure that they maintain strong governance and controls to help', 'guidance—most importantly by broadening the scope to include all aspects of model risk \nmanagement. Many banks may already have in place a large portion of these practices, \nbut all banks should ensure that internal policies and procedures are consistent with the \nrisk management principles and supervisory expectations contained in this guidance. \nDetails may vary from bank to bank, as practical application of this guidance should be']",This information is not available in the approved documents.,SR 26-2,,,,
Q006,Authority Failure,Medium,"Yes, details of model risk management practices may vary from bank to bank, as practical application of this guidance should be commensurate with a bank's risk exposures, its business activities, and the extent and complexity of its model use [Source: data/documents/outdated\sr1107a1.pdf].",Should model risk management activities be tailored according to model risk?,"[""should formalize model risk management activities with policies and the procedures to \nimplement them. Model risk management policies should be consistent with this \nguidance and also be commensurate with the bank's relative complexity, business \nactivities, corporate culture, and overall organizational structure. The board or its \ndelegates should approve model risk management policies and review them annually to"", 'the extent of model risk. Moreover, the modeling exercise is often a multidisciplinary \nactivity drawing on economics, finance, statistics, mathematics, and other fields. Models \nare employed in real-world markets and events and therefore should be tailored for \nspecific applications and informed by business uses. In addition, a considerable amount \nof subjective judgment is exercised at various stages of model development,', ""manage model risk, including internal policies and procedures that appropriately reflect \nthe risk management principles described in this guidance. Details of model risk \nmanagement practices may vary from bank to bank, as practical application of this \nguidance should be commensurate with a bank's risk exposures, its business activities, \nand the extent and complexity of its model use.""]","Yes, details of model risk management practices may vary from bank to bank, as practical application of this guidance should be commensurate with a bank's risk exposures, its business activities, and the extent and complexity of its model use [Source: data/documents/outdated\sr1107a1.pdf].",Yes,,,,
Q007,Authority Failure,High,This information is not available in the approved documents.,Which document is the current authoritative model risk management guidance?,"['assumptions. \nVII. CONCLUSION \nThis document has provided comprehensive guidance on effective model risk \nmanagement. Many of the activities described in this document are common industry \npractice. But all banks should confirm that their practices conform to the principles in this \nguidance for model development, implementation, and use, as well as model validation. \nBanks should also ensure that they maintain strong governance and controls to help', 'controls over model development, implementation, use, and validation. Section VII \nconcludes. \nII. PURPOSE AND SCOPE \nThe purpose of this document is to provide comprehensive guidance for banks on \neffective model risk management. Rigorous model validation plays a critical role in \nmodel risk management; however, sound development, implementation, and use of \nmodels are also vital elements. Furthermore, model risk management encompasses', 'Page 1 \nSR Letter  11-7 \nAttachment \nBoard of Governors of the Federal Reserve System \nOffice of the Comptroller of the Currency \nApril 4, 2011 \nSUPERVISORY GUIDANCE ON \nMODEL RISK MANAGEMENT \nCONTENTS \nI. Introduction, page 1 \nII. Purpose and Scope, page 2 \nIII. Overview of Model Risk Management, page 3 \nIV. Model Development, Implementation, and Use, page 5 \nV. Model Validation, page 9 \nVI. Governance, Policies, and Controls, page 16 \nVII. Conclusion, page 21 \nI. INTRODUCTION']",This information is not available in the approved documents.,SR 26-2,,,,
Q008,Governance Boundary,Medium,This information is not available in the approved documents.,Who is responsible for prompt injection testing?,"['deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the Technology Risk Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nGenerative AI applications should undergo prompt injection testing before production \ndeployment whenever practical. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least annually. \nAI-SDL-005 \nSecurity testing records shall be retained for a minimum of three years.', 'Prompt updates may be implemented through standard change management procedures. \nSection 4 – Monitoring \nAI-SDL-008 \nProduction AI systems shall maintain operational logs sufficient to support troubleshooting \nand incident investigations. \nAI-SDL-009 \nHigh-risk and Critical-risk AI systems shall undergo performance reviews at least annually. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within five \nbusiness days.', 'the objectivity, competence, and organizational standing of the key validation \nparticipants, with the ultimate goal of ascertaining whether those participants have the \nright incentives to discover and report deficiencies. Internal audit should review \nvalidation activities conducted by internal and external parties with the same rigor to see \nif those activities are being conducted in accordance with this guidance. [Page Break]']",This information is not available in the approved documents.,Information Security and AI Governance functions,,,,
Q009,Governance Boundary,High,Critical-risk AI systems shall obtain approval from the Technology Risk Committee before production release [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf].,Who approves deployment of Critical AI systems?,"['deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the Technology Risk Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nGenerative AI applications should undergo prompt injection testing before production \ndeployment whenever practical. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least annually. \nAI-SDL-005 \nSecurity testing records shall be retained for a minimum of three years.', 'AI Secure Development Lifecycle Standard (AI-SDL) \nVersion: 1.0 \nEffective Date: January 1, 2024 \nStatus: Superseded \nPurpose \nThis standard establishes minimum security and governance requirements for Artificial \nIntelligence systems developed, deployed, or maintained within the organization. \nSection 1 – Risk Classification \nAI-SDL-001 \nAll AI systems shall be classified as Low, Medium, High, or Critical risk prior to production \ndeployment. \nAI-SDL-002', 'Prompt updates may be implemented through standard change management procedures. \nSection 4 – Monitoring \nAI-SDL-008 \nProduction AI systems shall maintain operational logs sufficient to support troubleshooting \nand incident investigations. \nAI-SDL-009 \nHigh-risk and Critical-risk AI systems shall undergo performance reviews at least annually. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within five \nbusiness days.']",Critical-risk AI systems shall obtain approval from the Technology Risk Committee before production release [Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf].,AI Governance Committee,,,,
Q010,Governance Boundary,Medium,"Potential prompt injection incidents shall be escalated to Information Security within five business days (AI-SDL-010, Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf).",Who should be notified when a prompt injection incident occurs?,"['Prompt updates may be implemented through standard change management procedures. \nSection 4 – Monitoring \nAI-SDL-008 \nProduction AI systems shall maintain operational logs sufficient to support troubleshooting \nand incident investigations. \nAI-SDL-009 \nHigh-risk and Critical-risk AI systems shall undergo performance reviews at least annually. \nSection 5 – Incident Management \nAI-SDL-010 \nPotential prompt injection incidents shall be escalated to Information Security within five \nbusiness days.', 'deployment. \nAI-SDL-002 \nCritical-risk AI systems shall obtain approval from the Technology Risk Committee before \nproduction release. \nSection 2 – Security Testing \nAI-SDL-003 \nGenerative AI applications should undergo prompt injection testing before production \ndeployment whenever practical. \nAI-SDL-004 \nCritical-risk AI systems shall undergo adversarial red-team testing at least annually. \nAI-SDL-005 \nSecurity testing records shall be retained for a minimum of three years.', 'procedures and ensuring compliance, assigning competent staff, overseeing model \ndevelopment and implementation, evaluating model results, ensuring effective challenge, \nreviewing validation and internal audit findings, and taking prompt remedial action when \nnecessary. In the same manner as for other major areas of risk, senior management, \ndirectly and through relevant committees, is responsible for regularly reporting to the']","Potential prompt injection incidents shall be escalated to Information Security within five business days (AI-SDL-010, Source: data/documents/outdated\synthetic AI_SDL_v1_0_SUPERSEDED.pdf).",Information Security,,,,
